Pseudonym,Faculty,Post,Duration of employment,Frequency educator believe students are using AI,AI used by respondents,Professional Development in AI,Modified the course keeping AI in mind
SR823,Not indicated ,on fixed term ,>15,Often,ChatGPT,P.D. UNDERTAKEN,no
SR824,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,ChatGPT,NO P.D.,yes
SR825,Not indicated ,adjunct senior lecturer,>15,Rarely,Research Rabbit,P.D. UNDERTAKEN,yes
SR826,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR827,Not indicated ,adjunct senior lecturer,5 to 10,Never,Grammarly,NO P.D.,no
SR828,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Grammarly,INADEQUATE P.D.,no
SR829,Not indicated ,tenured staff,5 to 10,Often,Midjourney,INADEQUATE P.D.,no
SR830,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Rarely,Grammarly,NO P.D.,no
SR831,Not indicated ,tenured staff,>15,Often,Midjourney,INADEQUATE P.D.,no
SR832, Health & Medical Sciences,adjunct senior lecturer,>15,Rarely,ChatGPT,INADEQUATE P.D.,no
SR833,Not indicated ,on fixed term ,>15,Never,ChatGPT,INADEQUATE P.D.,yes
SR834,Not indicated ,on fixed term ,0 to 5,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR835, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Otter,INADEQUATE P.D.,no
SR836,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Never,ChatGPT,INADEQUATE P.D.,yes
SR837,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Otter,INADEQUATE P.D.,no
SR838,Not indicated ,tenured staff,0 to 5,Rarely,Otter,P.D. UNDERTAKEN,no
SR839, Health & Medical Sciences,on fixed term ,5 to 10,Sometimes,Elicit,P.D. UNDERTAKEN,no
SR840,Not indicated ,tenured staff,5 to 10,Often,Research Rabbit,NO P.D.,no
SR841,"Science, Engineering  & Tech",on fixed term ,>15,Often,Bing AI,P.D. UNDERTAKEN,yes
SR842,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Bing AI,INADEQUATE P.D.,no
SR843,Not indicated ,on fixed term ,10 to 15,Rarely,Dalle-E,P.D. UNDERTAKEN,no
SR844,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Elicit,P.D. UNDERTAKEN,no
SR845,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR846,Not indicated ,tenured staff,5 to 10,Rarely,Dalle-E,P.D. UNDERTAKEN,yes
SR847,Not indicated ,tenured staff,5 to 10,Sometimes,Dalle-E,NO P.D.,yes
SR848,"Science, Engineering  & Tech",on fixed term ,5 to 10,Often,Elicit,INADEQUATE P.D.,no
SR849,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Sometimes,Bing AI,INADEQUATE P.D.,no
SR850,Not indicated ,on fixed term ,>15,Never,Research Rabbit,NO P.D.,no
SR851,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Sometimes,Bing AI,INADEQUATE P.D.,no
SR852,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Dalle-E,INADEQUATE P.D.,no
SR853, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR854,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR855,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,yes
SR856,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Sometimes,Elicit,NO P.D.,no
SR857,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Otter,P.D. UNDERTAKEN,no
SR858, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Research Rabbit,INADEQUATE P.D.,no
SR859,"Science, Engineering  & Tech",tenured staff,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR860,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Rarely,Otter,P.D. UNDERTAKEN,yes
SR861,Not indicated ,tenured staff,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,no
SR862,Not indicated ,on fixed term ,5 to 10,Often,Grammarly,P.D. UNDERTAKEN,no
SR863,"Science, Engineering  & Tech",on fixed term ,5 to 10,Often,Midjourney,NO P.D.,no
SR864,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Otter,INADEQUATE P.D.,yes
SR865,Not indicated ,on fixed term ,>15,Never,Elicit,INADEQUATE P.D.,no
SR866,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Bing AI,NO P.D.,no
SR867,"Science, Engineering  & Tech",on fixed term ,>15,Never,Dalle-E,INADEQUATE P.D.,yes
SR868,Not indicated ,adjunct senior lecturer,0 to 5,Never,Otter,INADEQUATE P.D.,yes
SR869,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Otter,INADEQUATE P.D.,no
SR870,Not indicated ,on fixed term ,5 to 10,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR871,"Science, Engineering  & Tech",on fixed term ,5 to 10,Never,Bing AI,P.D. UNDERTAKEN,no
SR872,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Sometimes,Bing AI,NO P.D.,no
SR873,Not indicated ,tenured staff,>15,Sometimes,Elicit,P.D. UNDERTAKEN,no
SR874,"Science, Engineering  & Tech",on fixed term ,>15,Often,Bing AI,INADEQUATE P.D.,no
SR875,Not indicated ,adjunct senior lecturer,>15,Rarely,Otter,P.D. UNDERTAKEN,no
SR876,Not indicated ,on fixed term ,0 to 5,Often,Midjourney,P.D. UNDERTAKEN,no
SR877, Health & Medical Sciences,tenured staff,0 to 5,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR878, Health & Medical Sciences,on fixed term ,0 to 5,Rarely,Dalle-E,P.D. UNDERTAKEN,yes
SR879,"Science, Engineering  & Tech",on fixed term ,0 to 5,Often,ChatGPT,NO P.D.,no
SR880, Health & Medical Sciences,on fixed term ,0 to 5,Often,Otter,INADEQUATE P.D.,yes
SR881,"Science, Engineering  & Tech",on fixed term ,5 to 10,Rarely,ChatGPT,INADEQUATE P.D.,no
SR882, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Otter,NO P.D.,no
SR883,Not indicated ,adjunct senior lecturer,>15,Rarely,ChatGPT,INADEQUATE P.D.,no
SR884,"Science, Engineering  & Tech",tenured staff,>15,Sometimes,Bing AI,INADEQUATE P.D.,no
SR885,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Often,Grammarly,INADEQUATE P.D.,yes
SR886,Not indicated ,adjunct senior lecturer,10 to 15,Sometimes,Bing AI,P.D. UNDERTAKEN,yes
SR887,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Bing AI,P.D. UNDERTAKEN,yes
SR888,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,Elicit,NO P.D.,no
SR889, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,Research Rabbit,P.D. UNDERTAKEN,yes
SR890,"Science, Engineering  & Tech",tenured staff,5 to 10,Rarely,Research Rabbit,INADEQUATE P.D.,no
SR891,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Sometimes,ChatGPT,P.D. UNDERTAKEN,yes
SR892,Not indicated ,tenured staff,>15,Often,Otter,P.D. UNDERTAKEN,yes
SR893, Health & Medical Sciences,on fixed term ,>15,Rarely,Elicit,P.D. UNDERTAKEN,no
SR894, Health & Medical Sciences,on fixed term ,>15,Never,Bing AI,P.D. UNDERTAKEN,yes
SR895,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Often,Elicit,NO P.D.,no
SR896,Not indicated ,tenured staff,0 to 5,Never,ChatGPT,INADEQUATE P.D.,no
SR897,Not indicated ,tenured staff,0 to 5,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR898, Health & Medical Sciences,on fixed term ,0 to 5,Often,Grammarly,NO P.D.,no
SR899,"Science, Engineering  & Tech",on fixed term ,0 to 5,Often,Dalle-E,INADEQUATE P.D.,no
SR900, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Never,ChatGPT,INADEQUATE P.D.,no
SR901,Not indicated ,adjunct senior lecturer,5 to 10,Often,Elicit,INADEQUATE P.D.,yes
SR902,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Often,Grammarly,P.D. UNDERTAKEN,yes
SR903, Health & Medical Sciences,on fixed term ,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,yes
SR904,Not indicated ,on fixed term ,5 to 10,Sometimes,Midjourney,NO P.D.,no
SR905, Health & Medical Sciences,on fixed term ,5 to 10,Never,ChatGPT,P.D. UNDERTAKEN,yes
SR906,"Science, Engineering  & Tech",tenured staff,10 to 15,Often,ChatGPT,INADEQUATE P.D.,no
SR907, Health & Medical Sciences,adjunct senior lecturer,>15,Rarely,Midjourney,P.D. UNDERTAKEN,yes
SR908, Health & Medical Sciences,tenured staff,>15,Rarely,Midjourney,NO P.D.,no
SR909,Not indicated ,adjunct senior lecturer,>15,Rarely,ChatGPT,INADEQUATE P.D.,no
SR910,Not indicated ,adjunct senior lecturer,0 to 5,Rarely,Midjourney,INADEQUATE P.D.,no
SR911,Not indicated ,tenured staff,5 to 10,Sometimes,Bing AI,NO P.D.,no
SR912, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Dalle-E,INADEQUATE P.D.,no
SR913,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Never,Dalle-E,INADEQUATE P.D.,yes
SR914,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Dalle-E,INADEQUATE P.D.,no
SR915,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR916,Not indicated ,tenured staff,>15,Rarely,Otter,P.D. UNDERTAKEN,no
SR917,Not indicated ,tenured staff,>15,Sometimes,Midjourney,NO P.D.,no
SR918, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Often,Grammarly,P.D. UNDERTAKEN,no
SR919,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,Midjourney,P.D. UNDERTAKEN,no
SR920,Not indicated ,on fixed term ,0 to 5,Sometimes,ChatGPT,NO P.D.,yes
SR921,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Research Rabbit,INADEQUATE P.D.,yes
SR922,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Sometimes,Elicit,INADEQUATE P.D.,no
SR923,Not indicated ,tenured staff,5 to 10,Never,Elicit,NO P.D.,no
SR924,Not indicated ,adjunct senior lecturer,5 to 10,Never,Dalle-E,INADEQUATE P.D.,yes
SR925,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Midjourney,INADEQUATE P.D.,yes
SR926,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,Grammarly,INADEQUATE P.D.,no
SR927, Health & Medical Sciences,tenured staff,10 to 15,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR928,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Bing AI,P.D. UNDERTAKEN,yes
SR929,"Science, Engineering  & Tech",tenured staff,0 to 5,Often,Otter,NO P.D.,no
SR930,"Science, Engineering  & Tech",tenured staff,5 to 10,Rarely,Bing AI,P.D. UNDERTAKEN,yes
SR931,Not indicated ,tenured staff,5 to 10,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR932,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,NO P.D.,yes
SR933, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Sometimes,Dalle-E,INADEQUATE P.D.,no
SR934,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Sometimes,Midjourney,INADEQUATE P.D.,yes
SR935,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Often,ChatGPT,NO P.D.,yes
SR936, Health & Medical Sciences,tenured staff,>15,Sometimes,Elicit,INADEQUATE P.D.,yes
SR937, Health & Medical Sciences,on fixed term ,0 to 5,Never,Otter,INADEQUATE P.D.,no
SR938,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Bing AI,INADEQUATE P.D.,no
SR939,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Otter,P.D. UNDERTAKEN,yes
SR940, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Never,Otter,INADEQUATE P.D.,no
SR941,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,Grammarly,INADEQUATE P.D.,no
SR942,Not indicated ,on fixed term ,5 to 10,Never,Grammarly,INADEQUATE P.D.,no
SR943,Not indicated ,tenured staff,5 to 10,Often,Midjourney,P.D. UNDERTAKEN,no
SR944, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR945,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,Grammarly,NO P.D.,yes
SR946, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR947, Health & Medical Sciences,on fixed term ,5 to 10,Rarely,Elicit,INADEQUATE P.D.,no
SR948,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Never,Dalle-E,P.D. UNDERTAKEN,yes
SR949,"Arts, Business, Law  & Economics",on fixed term ,>15,Sometimes,Midjourney,P.D. UNDERTAKEN,yes
SR950,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,ChatGPT,P.D. UNDERTAKEN,no
SR951,Not indicated ,tenured staff,>15,Often,Dalle-E,P.D. UNDERTAKEN,no
SR952,"Science, Engineering  & Tech",on fixed term ,0 to 5,Never,Otter,NO P.D.,no
SR953,Not indicated ,tenured staff,5 to 10,Never,ChatGPT,INADEQUATE P.D.,yes
SR954,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Often,Research Rabbit,INADEQUATE P.D.,no
SR955,Not indicated ,tenured staff,5 to 10,Rarely,ChatGPT,NO P.D.,no
SR956,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Rarely,Grammarly,INADEQUATE P.D.,no
SR957,Not indicated ,on fixed term ,>15,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR958,"Arts, Business, Law  & Economics",on fixed term ,>15,Sometimes,Midjourney,INADEQUATE P.D.,no
SR959, Health & Medical Sciences,adjunct senior lecturer,>15,Often,Midjourney,P.D. UNDERTAKEN,no
SR960,Not indicated ,on fixed term ,0 to 5,Often,Dalle-E,P.D. UNDERTAKEN,no
SR961,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Grammarly,NO P.D.,no
SR962,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Sometimes,Bing AI,P.D. UNDERTAKEN,yes
SR963,Not indicated ,on fixed term ,0 to 5,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR964,Not indicated ,adjunct senior lecturer,0 to 5,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR965,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR966,Not indicated ,tenured staff,5 to 10,Often,Elicit,P.D. UNDERTAKEN,yes
SR967, Health & Medical Sciences,on fixed term ,>15,Never,Otter,P.D. UNDERTAKEN,no
SR968,Not indicated ,tenured staff,>15,Never,Dalle-E,NO P.D.,yes
SR969, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Often,Elicit,INADEQUATE P.D.,yes
SR970, Health & Medical Sciences,tenured staff,10 to 15,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR971,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Rarely,Midjourney,NO P.D.,maybe
SR972,Not indicated ,adjunct senior lecturer,5 to 10,Sometimes,Otter,INADEQUATE P.D.,maybe
SR973,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Elicit,INADEQUATE P.D.,maybe
SR974,Not indicated ,on fixed term ,5 to 10,Often,Bing AI,INADEQUATE P.D.,maybe
SR975,Not indicated ,tenured staff,10 to 15,Rarely,Elicit,P.D. UNDERTAKEN,maybe
SR976,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Rarely,Research Rabbit,P.D. UNDERTAKEN,maybe
SR977,Not indicated ,adjunct senior lecturer,>15,Often,Midjourney,NO P.D.,maybe
SR978,"Arts, Business, Law  & Economics",tenured staff,>15,Never,Dalle-E,P.D. UNDERTAKEN,maybe
SR979, Health & Medical Sciences,on fixed term ,0 to 5,Often,ChatGPT,INADEQUATE P.D.,maybe
SR980,Not indicated ,on fixed term ,0 to 5,Often,Dalle-E,P.D. UNDERTAKEN,maybe
SR981,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Otter,P.D. UNDERTAKEN,maybe
SR982,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Rarely,ChatGPT,P.D. UNDERTAKEN,maybe
SR983,Not indicated ,on fixed term ,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,maybe
SR984,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,Bing AI,NO P.D.,maybe
SR985,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,Grammarly,INADEQUATE P.D.,maybe
SR986,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,Grammarly,INADEQUATE P.D.,maybe
SR987,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Rarely,Dalle-E,NO P.D.,maybe
SR988,Not indicated ,tenured staff,5 to 10,Never,Otter,INADEQUATE P.D.,yes
SR989, Health & Medical Sciences,on fixed term ,5 to 10,Sometimes,Bing AI,INADEQUATE P.D.,yes
SR990,"Science, Engineering  & Tech",tenured staff,10 to 15,Sometimes,Elicit,INADEQUATE P.D.,no
SR991,Not indicated ,tenured staff,>15,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR992,Not indicated ,tenured staff,>15,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR993, Health & Medical Sciences,adjunct senior lecturer,>15,Sometimes,Research Rabbit,NO P.D.,yes
SR994,"Science, Engineering  & Tech",on fixed term ,0 to 5,Never,Midjourney,P.D. UNDERTAKEN,no
SR995,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR996,Not indicated ,tenured staff,5 to 10,Often,Elicit,P.D. UNDERTAKEN,no
SR997,Not indicated ,adjunct senior lecturer,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR998, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR999, Health & Medical Sciences,on fixed term ,>15,Never,Dalle-E,P.D. UNDERTAKEN,yes
SR1000,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Grammarly,NO P.D.,no
SR1001,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,Otter,INADEQUATE P.D.,no
SR1002,"Science, Engineering  & Tech",tenured staff,0 to 5,Sometimes,Grammarly,INADEQUATE P.D.,yes
SR1003,Not indicated ,adjunct senior lecturer,0 to 5,Rarely,Grammarly,NO P.D.,no
SR1004,"Science, Engineering  & Tech",tenured staff,0 to 5,Sometimes,Bing AI,INADEQUATE P.D.,yes
SR1005,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Sometimes,ChatGPT,INADEQUATE P.D.,yes
SR1006, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Sometimes,Elicit,INADEQUATE P.D.,no
SR1007,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Never,Elicit,P.D. UNDERTAKEN,yes
SR1008,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Often,Otter,P.D. UNDERTAKEN,no
SR1009,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,Dalle-E,NO P.D.,no
SR1010, Health & Medical Sciences,adjunct senior lecturer,>15,Often,Bing AI,P.D. UNDERTAKEN,yes
SR1011,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Rarely,Midjourney,INADEQUATE P.D.,no
SR1012,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Rarely,Dalle-E,P.D. UNDERTAKEN,no
SR1013,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Sometimes,Research Rabbit,NO P.D.,yes
SR1014,Not indicated ,tenured staff,5 to 10,Often,Dalle-E,INADEQUATE P.D.,no
SR1015,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Dalle-E,INADEQUATE P.D.,yes
SR1016, Health & Medical Sciences,on fixed term ,5 to 10,Often,Grammarly,NO P.D.,no
SR1017,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Sometimes,Dalle-E,INADEQUATE P.D.,no
SR1018,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Sometimes,Elicit,INADEQUATE P.D.,no
SR1019, Health & Medical Sciences,on fixed term ,>15,Rarely,Research Rabbit,INADEQUATE P.D.,yes
SR1020,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR1021, Health & Medical Sciences,tenured staff,0 to 5,Often,ChatGPT,P.D. UNDERTAKEN,no
SR1022,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Often,Dalle-E,NO P.D.,no
SR1023, Health & Medical Sciences,tenured staff,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,maybe
SR1024,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Often,Dalle-E,P.D. UNDERTAKEN,no
SR1025,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Sometimes,Midjourney,NO P.D.,no
SR1026,Not indicated ,tenured staff,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,yes
SR1027,Not indicated ,tenured staff,5 to 10,Often,Grammarly,INADEQUATE P.D.,yes
SR1028,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,ChatGPT,NO P.D.,no
SR1029,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR1030,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Often,Research Rabbit,INADEQUATE P.D.,yes
